English,Marathi
Can I say something if you don't mind?,तुमची हरकत नसेल तर मी काही सांगू का?/ जर तुला वाईट वाटलं असेल तर मी काहीतरी सांगू का.
Lets do one thing.,चला एक काम करूया.
I am working on it.,मी त्यावर काम करत आहे.
I will not give up.,मी हार नाही मानणार.
Power has gone off.,लाईन गेली आहे.
Let me take a look.,मला पाहू दे.
You are so stubborn.,तू किती हट्टी आहे.
He has come.,तो आला आहे.
She Must be around.,ती इथेच कुठेतरी असेल./ती आजूबाजूला असावी.
I wish I were yours.,काश मी तुझा असतो.
I was sick yesterday.,काल मी आजारी होतो.
I don't know.,मला माहिती नाही./ मला माहित नाही.
My mobile was off.,माझा मोबाईल बंद होता.
I was late.,माझ्याकडे पैसे होते.
Nobody told me.,मला उशीर झाला होता.
I was at home.,मला कोणीही सांगितले नाही.
Please close the door.,मी घरी होतो.
Please close the window.,कृपया दार बंद करा.
Please check again.,कृपया खिडकी बंद करा.
Please try again.,कृपया पुन्हा तपासा.
Please try to understand.,कृपया पुन्हा प्रयत्न करा.
Please let me know.,कृपया समजून घेण्याचा प्रयत्न करा.
Please let us know.,कृपया मला कळवा.
Please don't go.,कृपया आम्हाला कळवा.
But why?,कृपया  जाऊ नका.
But who?,पण का?
But how?,पण कोण?
But when?,पण कसं?
But where?,पण केव्हा?
Then what?,पण कुठे?
Your mobile number?,मग काय?
Your occupation?,तुमचा मोबाइल नंबर?
Any problem?,काही अडचण?
Now or next year?,आता की पुढच्या वर्षी?
Today or tomorrow?,आज की उद्या?.
How claver you are .,तू किती हुशार आहे.
how tall you are,तू किती उंच आहे.
How beautiful she is !,ती किती सुंदर आहे.
How beautiful this garden is !,हा किती सुंदर बगीचा आहे.
How difficult it is !,किती कठीण आहे ते.
How easy it is!,ते किती सोपे आहे.
Do an exercise otherwise you will not be healthy.,नियमित व्यायाम करा अन्यथा तुम्ही तंदुरुस्त/दुरुस्त बनणार नाही.
hurry up otherwise you will miss the bus.,घाई कर नाहीतर तुला बस सापडणार नाही.
Can you tell me how to prepare it,मला तू सांगू शकतो का ते कसे तयार करायचे.
Are you joining us?,तुम्ही आमच्यात सामील आहात का?
I am very pleased to meet you.,तुम्हाला भेटून मला खूप आनंद झाला.
You are my responsibility.,तू माझी जबाबदारी आहेस.
This is not fair.,हे योग्य नाही.
What are you doing today?,आज तुम्ही काय करत आहात?
Please say something.,कृपया काहीतरी बोल.
I will come again.,मी पुन्हा येईन.
What would you like to have?,तुला काय पाहिजे?
Thank you for inviting us.,आम्हाला आमंत्रित केल्याबद्दल धन्यवाद.
It’s my pleasure.,हा माझा आनंद आहे.
Thank you for the advice.,सल्ल्याबद्दल धन्यवाद.
Many happy returns of the day.,दिवसाच्या अनेक शुभेच्छा.
Happy birthday!,वाढदिवसाच्या हार्दिक शुभेच्छा!
I wish you a happy married life.,मी तुम्हाला सुखी वैवाहिक जीवनासाठी शुभेच्छा देतो.
Please be seated.,कृपया बसा.
I’m on my way.,मी येतोच आहे.
When will you reach?,कधी पोहोचणार?
Nice to meet you.,तुम्हाला भेटून आनंद झाला.
Is everything alright?,सर्व काही ठीक आहे का?
Hope to see you next time.,पुढच्या वेळी भेटू अशी आशा आहे.
Do you speak English?,तुम्ही इंग्रजी बोलता का?
You are getting late for school.,तुला शाळेला यायला उशीर होतोय.
I missed my school bus.,माझी शाळेची बस चुकली.
Who is your class teacher?,तुमचा वर्ग शिक्षक कोण आहे?
Please clean the board.,कृपया बोर्ड साफ करा.
Read the sentences carefully.,वाक्य काळजीपूर्वक वाचा.
What is your favorite subject?,तुझा आवडता विषय कोणता आहे?
Who is your favorite teacher?,तुमचा आवडता शिक्षक कोण आहे?
I have completed my homework.,मी माझा गृहपाठ पूर्ण केला आहे.
Improve your handwriting.,तुमचे हस्ताक्षर सुधारा.
Why are you late?,तुला उशीर का झाला?
What is your contact number?,तुमचा संपर्क क्रमांक काय आहे?
Could you show me your answer sheet?,तुम्ही मला तुमची उत्तरपत्रिका दाखवू शकाल का?
I appreciate it.,मी याचं कौतुक करतो.
Do you agree with me?,तुम्ही माझ्याशी सहमत आहात का?
It was nice to talk with you.,तुझ्याशी बोलून छान वाटलं.
I made it.,मी ते बनवले.
I feel sad about your loss.,मला तुमच्या नुकसानाबद्दल वाईट वाटते.
Let’s celebrate!,चला साजरा करूया!
What do you like the most?,तुम्हाला सर्वात जास्त काय आवडते?
Do not disturb!,व्यत्यय आणू नका!
Try to open this door.,हा दरवाजा उघडण्याचा प्रयत्न करा.
I read books.,मी पुस्तके वाचतो.
I do not want to know anything.,मला काही कळायचे नाही.
Drive carefully.,जपून चालवा.
I love to play video games.,मला व्हिडिओ गेम्स खेळायला आवडतात.
Go slow from the crowd.,गर्दीतून सावकाश जा.
This is your updated version.,ही तुमची अद्ययावत आवृत्ती आहे.
The sun rises from the east.,सूर्य पूर्वेकडून उगवतो.
We cook everyday,आम्ही रोज स्वयंपाक करतो
Daily exercise makes you fit and healthy.,रोजचा व्यायाम तुम्हाला तंदुरुस्त आणि निरोगी बनवतो.
Have a nice day.,तुमचा दिवस चांगला जावो.
Excuse me!,मला माफ करा!
Stop crying.,रडणे थांबव.
Are you fooling me?,तू मला फसवत आहेस?
Could you give me some money?,तुम्ही मला काही पैसे देऊ शकाल का?
Girls do not want to stay in the gum.,मुलींना डिंकात राहायचे नाही.
She wakes early in the morning.,ती सकाळी लवकर उठते.
He sleeps in the afternoon.,तो दुपारी झोपतो.
How can I help you?,मी तुम्हाला कशी मदत करू शकते?
I have turn 24 today.,मी आज २४ वर्षाचा झालो आहे.
He was inwardly angry.,तो आतून चिडला होता
I was inwardly smiling.,मी आतून/ मनातून हसत होतो.
He was inwardly smiling.,तो मना मध्येच हसत होता/ तो आतून हसत होता.
She was inwardly talking.,ती मनामध्ये स्वतःची बोलत होत होती
I was inwardly getting angry.,मला आतून राग येत होता.
You are spoiling me.,तू मला बिघडवत आहे.
He is getting spoiled.,तो बिघडत चालला आहे.
Don't elongate the matter.,तू गोष्टीला वाढवू नको /प्रकरण लांबवू नका.
You are a elongating the matter.,तू गोष्टीला/प्रकरण वाढवत आहे.
Don't try to elongate the matter.,प्रकरण वाढवण्याचा प्रयत्न करू नको.
I don't want to elongate the matter.,मला प्रकरण वाढवायचे नाही.
She Must be around.,ती आजूबाजूला असावी.
I don't know.,मला माहिती नाही.
I was late.,मला उशीर झाला होता.
Nobody told me.,मला कोणीही सांगितले नाही.
I was at home.,मी घरी होतो.
Please close the door.,कृपया दार बंद करा.
Please close the window.,कृपया खिडकी बंद करा.
Please check again.,कृपया पुन्हा तपासा.
Please try again.,कृपया पुन्हा प्रयत्न करा.
Please try to understand.,कृपया समजून घेण्याचा प्रयत्न करा.
Please let me know.,कृपया मला कळवा.
Please let us know.,कृपया आम्हाला कळवा.
Please don't go.,कृपया  जाऊ नका.
But why?,पण का?
But who?,पण कोण?
But how?,पण कसं?
But when?,पण केव्हा?
But where?,पण कुठे?
Then what?,मग काय?
Your mobile number?,तुमचा मोबाइल नंबर?
Can you show me how to fix this bike?,ही बाईक कशी दुरुस्त करायची ते तुम्ही मला दाखवू शकाल का?
"I’m feeling hot, can you turn on the AC?","मला गरम वाटतंय, तुम्ही एसी चालू करू शकता का?"
What’s the score of the game?,खेळाचा स्कोअर किती आहे?
"Can you pass me the towel, please?",कृपया मला टॉवेल देऊ शकाल का?
What do you want for dinner tomorrow?,उद्या रात्रीच्या जेवणासाठी तुला काय हवे आहे?
Can you help me find my lost keys?,माझ्या हरवलेल्या चाव्या शोधण्यात तुम्ही मला मदत करू शकता का?
Do you want to go for a swim with me?,तुला माझ्याबरोबर पोहायला जायचे आहे का?
Can you give me the details of the meeting?,तुम्ही मला मीटिंगचा तपशील देऊ शकाल का?
What’s the latest update on the weather?,हवामानावरील नवीनतम अपडेट काय आहे?
"Can you turn up the brightness, please?","कृपया, तुम्ही चमक वाढवू शकता का?"
What’s the plan for the weekend?,वीकेंडसाठी काय प्लॅन आहे?
Can you give me some advice on this relationship?,या नात्याबद्दल तुम्ही मला काही सल्ला देऊ शकाल का?
Do you want to go to the concert with me?,तुला माझ्यासोबत मैफिलीला जायचे आहे का?
"Can you pass me the sugar, please?","कृपया, तुम्ही मला साखर देऊ शकाल का?"
"I’m feeling sad, I need to talk to someone.","मला वाईट वाटत आहे, मला कोणाशी तरी बोलण्याची गरज आहे."
"Can you turn off the lights, please?","कृपया, तुम्ही दिवे बंद करू शकता का?"
What’s the latest update on the stock market?,शेअर बाजारातील नवीनतम अपडेट काय आहे?
Can you give me some tips on how to quit smoking?,तुम्ही मला धूम्रपान कसे सोडावे याबद्दल काही टिप्स देऊ शकता का?
Do you want to go to the museum with me?,तुला माझ्याबरोबर संग्रहालयात जायचे आहे का?
Can you show me how to change a tire?,टायर कसा बदलायचा ते तुम्ही मला दाखवू शकता का?
"I’m feeling bored, what do you want to do?","मला कंटाळा आलाय, तुला काय करायचं आहे?"
"Can you pass me the ketchup, please?",कृपया मला केचप देऊ शकाल का?
What’s the latest update on the book club?,बुक क्लबचे नवीनतम अपडेट काय आहे?
"Can you turn up the sound, please?","कृपया, तुम्ही आवाज वाढवू शकता का?"
What do you want for breakfast tomorrow?,उद्या नाश्त्याला काय हवे आहे?
Can you help me with this puzzle?,तुम्ही मला हे कोडे सोडवण्यासाठी मदत करू शकता का?
Do you want to go to the park with me?,तुला माझ्याबरोबर उद्यानात जायचे आहे का?
Can you give me the password to your laptop?,तुम्ही मला तुमच्या लॅपटॉपचा पासवर्ड देऊ शकता का?
What’s the latest update on the job interview?,नोकरीच्या मुलाखतीचे नवीनतम अपडेट काय आहे?
"Can you turn down the brightness, please?","कृपया, तुम्ही चमक कमी करू शकता का?"
What’s the plan for tonight?,आज रात्रीचा प्लॅन काय आहे?
Can you give me some tips on how to save energy?,ऊर्जेची बचत कशी करावी यासाठी तुम्ही मला काही टिप्स देऊ शकता का?
Do you want to go to the movie with me?,तुला माझ्यासोबत चित्रपटाला जायचे आहे का?
"Can you pass me the bread, please?","कृपया, तुम्ही मला ब्रेड देऊ शकता का?"
"I’m feeling anxious, I need to calm down.","मला चिंता वाटत आहे, मला शांत होण्याची गरज आहे."
"Can you turn on the lights, please?","कृपया, तुम्ही दिवे चालू करू शकता का?"
What’s the latest update on the team project?,टीम प्रोजेक्टवर नवीनतम अपडेट काय आहे?
Can you give me some tips on how to be productive?,उत्पादनक्षम कसे व्हावे यासाठी तुम्ही मला काही टिप्स देऊ शकता का?
Do you want to go to the gym with me?,तुला माझ्यासोबत जिममध्ये जायचे आहे का?
Can you show me how to knit a scarf?,स्कार्फ कसा विणायचा ते तुम्ही मला दाखवू शकता का?
"I’m feeling restless, I need to take a walk.","मला अस्वस्थ वाटत आहे, मला फिरायला जावे लागेल."
"Can you pass me the cheese, please?","कृपया, तुम्ही मला चीज देऊ शकता का?"
What’s the latest update on the club meeting?,क्लब मीटिंगचे नवीनतम अपडेट काय आहे?
"Can you turn up the volume, please?","कृपया, तुम्ही आवाज वाढवू शकता का?"
What do you want for lunch today?,आज दुपारच्या जेवणासाठी तुम्हाला काय हवे आहे?
Can you help me with this crossword puzzle?,तुम्ही मला या शब्दकोडीत मदत करू शकता का?
Do you want to go to the beach with me?,तुला माझ्यासोबत बीचवर जायचे आहे का?
Can you give me the password to your tablet?,तुम्ही मला तुमच्या टॅबलेटचा पासवर्ड देऊ शकता का?
What’s the latest update on the family vacation?,कौटुंबिक सुट्टीतील नवीनतम अपडेट काय आहे?
"Can you turn down the sound, please?","कृपया, तुम्ही आवाज कमी करू शकता का?"
What’s the plan for the day?,दिवसाचा प्लॅन काय आहे?
Can you give me some tips on how to manage stress?,तणावाचे व्यवस्थापन कसे करावे याबद्दल तुम्ही मला काही टिप्स देऊ शकता का?
Do you want to go to the festival with me?,तुला माझ्याबरोबर उत्सवाला जायचे आहे का?
"Can you pass me the mayo, please?","कृपया, तुम्ही मला मेयो पास करू शकता का?"
"I’m feeling hungry, what do you want to order?","मला भूक लागली आहे, तुम्हाला काय ऑर्डर करायचे आहे?"
What’s the latest update on the budget?,बजेटचे नवीनतम अपडेट काय आहे?
Can you give me some tips on how to live a healthy lifestyle?,निरोगी जीवनशैली कशी जगावी यासाठी तुम्ही मला काही टिप्स देऊ शकता का?
"Good morning, how are you today?","सुप्रभात, आज तू कसा आहेस?"
"Can I have a cup of coffee, please?",कृपया मला एक कप कॉफी मिळेल का?
What’s the weather like today?,आज हवामान काय आहे?
What’s for breakfast?,नाश्त्यासाठी काय आहे?
Can you give me a ride to work?,तुम्ही मला कामासाठी एक राइड देऊ शकता का?
Can you help me with this task?,तुम्ही मला या कामात मदत करू शकता का?
What time do you finish work today?,आज किती वाजता काम संपवायचे?
Do you want to go for a walk in the park?,तुम्हाला उद्यानात फिरायला जायचे आहे का?
"Can you pass me the salt, please?","कृपया, तुम्ही मला मीठ देऊ शकता का?"
"I’m feeling tired, I need a nap.","मला थकल्यासारखे वाटत आहे, मला झोपेची गरज आहे."
"Can you turn on the TV, please?",कृपया तुम्ही टीव्ही चालू करू शकता का?
What’s the latest news?,ताज्या बातम्या काय आहेत?
Can I borrow your pen?,मी तुमचा पेन घेऊ शकतो का?
Do you want to join me for lunch?,तुम्हाला माझ्यासोबत दुपारच्या जेवणासाठी सामील व्हायचे आहे का?
What’s the traffic like on the way to work?,कामाच्या मार्गावर रहदारी कशी असते?
"Can you turn down the music, please?","कृपया, तुम्ही संगीत नाकारू शकता का?"
What do you want for dinner tonight?,आज रात्रीच्या जेवणासाठी तुम्हाला काय हवे आहे?
Can you give me some advice on this matter?,या विषयावर तुम्ही मला काही सल्ला देऊ शकाल का?
Do you want to watch a movie tonight?,तुम्हाला आज रात्री चित्रपट बघायचा आहे का?
Can you give me a hand with this heavy bag?,या जड पिशवीत तुम्ही मला हात देऊ शकता का?
"I’m feeling cold, can you turn up the heat?","मला थंडी वाजत आहे, तुम्ही उष्णता वाढवू शकता का?"
What’s the address of the meeting today?,आजच्या बैठकीचा पत्ता काय आहे?
Can you remind me of the deadline for this project?,तुम्ही मला या प्रकल्पाच्या अंतिम मुदतीची आठवण करून देऊ शकता का?
What’s the schedule for tomorrow?,उद्याचे वेळापत्रक काय आहे?
Can you show me how to use this app?,हे अॅप कसे वापरायचे ते तुम्ही मला दाखवू शकता का?
"I’m feeling stressed, I need a break.","मला तणाव वाटत आहे, मला विश्रांतीची गरज आहे."
What’s the theme of the party tonight?,आज रात्री पार्टीची थीम काय आहे?
Can you give me some feedback on my presentation?,माझ्या सादरीकरणावर तुम्ही मला काही प्रतिक्रिया देऊ शकाल का?
Do you want to go shopping with me this weekend?,तुम्हाला या वीकेंडला माझ्यासोबत खरेदीला जायचे आहे का?
"Can you give me the keys to the car, please?",कृपया मला गाडीच्या चाव्या देऊ शकाल का?
What’s the password to the Wi-Fi?,Wi-Fi चा पासवर्ड काय आहे?
"Can you turn on the fan, please?","कृपया, तुम्ही पंखा चालू करू शकता का?"
Can you help me find my phone?,तुम्ही मला माझा फोन शोधण्यात मदत करू शकता का?
Do you want to go for a picnic this weekend?,तुम्हाला या वीकेंडला पिकनिकला जायचे आहे का?
"Can you pass me the tissue, please?","कृपया, तुम्ही मला टिश्यू देऊ शकता का?"
"I’m feeling sick, I need to see a doctor.","मला आजारी वाटत आहे, मला डॉक्टरांना भेटण्याची गरज आहे."
Can you give me some directions to the nearest gas station?,तुम्ही मला जवळच्या गॅस स्टेशनला काही दिशा देऊ शकता का?
What time do you want to leave for the trip?,तुम्हाला सहलीसाठी किती वाजता निघायचे आहे?
Can you show me how to cook this dish?,ही डिश कशी शिजवायची ते तुम्ही मला दाखवू शकता का?
"I’m feeling hungry, let’s grab a snack.","मला भूक लागली आहे, चला नाश्ता घेऊया."
"Can you turn off the computer, please?","कृपया, तुम्ही संगणक बंद करू शकता का?"
What’s the dress code for the party?,पार्टीसाठी ड्रेस कोड काय आहे?
Can you give me some tips on how to save money?,पैसे कसे वाचवायचे याबद्दल तुम्ही मला काही टिप्स देऊ शकता का?
Do you want to go for a hike this weekend?,तुम्हाला या वीकेंडला फिरायला जायचे आहे का?
"Can you give me a hug, I need it.","तुम्ही मला मिठी मारू शकता, मला त्याची गरज आहे."
What’s the latest update on the project?,प्रकल्पाचे नवीनतम अद्यतन काय आहे?
Can you help me with this math problem?,या गणिताच्या समस्येत तुम्ही मला मदत करू शकता का?
Do you want to join me for dinner tonight?,तुम्हाला आज रात्रीच्या जेवणासाठी माझ्यासोबत सामील व्हायचे आहे का?
Can you give me the password to your phone?,तुम्ही मला तुमच्या फोनचा पासवर्ड देऊ शकता का?
What’s the movie schedule for today?,आजचे चित्रपटाचे वेळापत्रक काय आहे?
"Can you turn down the volume, please?","कृपया, तुम्ही आवाज कमी करू शकता का?"
What’s the theme of the conference today?,आजच्या परिषदेची थीम काय आहे?
Can you give me some tips on how to stay healthy?,निरोगी कसे राहावे यासाठी तुम्ही मला काही टिप्स देऊ शकता का?
Do you want to go for a run with me,तुला माझ्याबरोबर धावायला जायचे आहे का?
Do you want to go to the amusement park with me?,तुला माझ्याबरोबर मनोरंजन उद्यानात जायचे आहे का?
"Can you pass me the mustard, please?","कृपया, तुम्ही मला मोहरी पास करू शकता का?"
What do you want for snack today?,तुम्हाला आज फराळासाठी काय हवे आहे?
Can you help me with this word search?,या शब्द शोधात तुम्ही मला मदत करू शकता का?
What’s the latest update on the school project?,शाळेच्या प्रकल्पाचे नवीनतम अपडेट काय आहे?
Do you want to go to the coffee shop with me?,तुला माझ्याबरोबर कॉफी शॉपमध्ये जायचे आहे का?
Can you give me the password to your smartphone?,तुम्ही मला तुमच्या स्मार्टफोनचा पासवर्ड देऊ शकता का?
What’s the plan for the evening?,संध्याकाळचा प्लॅन काय आहे?
Can you give me some tips on how to maintain a positive attitude?,सकारात्मक दृष्टीकोन कसा ठेवावा यासाठी तुम्ही मला काही टिप्स देऊ शकता का?
"I’m feeling happy, I want to dance.","मला आनंद वाटत आहे, मला नाचायचे आहे."
"Can you pass me the salsa, please?",कृपया मला साल्सा पास करू शकाल का?
What’s the latest update on the book club meeting?,बुक क्लब मीटिंगचे नवीनतम अपडेट काय आहे?
Can you help me with this maze?,तुम्ही मला या चक्रव्यूहात मदत करू शकता का?
Do you want to go to the library with me?,तुला माझ्याबरोबर लायब्ररीत जायचे आहे का?
Can you give me the password to your smartwatch?,तुम्ही मला तुमच्या स्मार्टवॉचचा पासवर्ड देऊ शकता का?
What’s the latest update on the team presentation?,संघ सादरीकरणाचे नवीनतम अद्यतन काय आहे?
What’s the plan for tomorrow?,उद्याचा प्लॅन काय आहे?
Can you give me some tips on how to improve my public speaking?,माझे सार्वजनिक बोलणे कसे सुधारावे यासाठी तुम्ही मला काही टिप्स देऊ शकता का?
"I’m feeling curious, I want to explore.","मला उत्सुकता वाटत आहे, मला एक्सप्लोर करायचे आहे."
"Can you pass me the hot sauce, please?","कृपया, तुम्ही मला गरम सॉस देऊ शकता का?"
What’s the latest update on the family reunion?,कौटुंबिक पुनर्मिलनचे नवीनतम अद्यतन काय आहे?
What do you want for breakfast today?,आज नाश्त्यासाठी काय हवे आहे?
Can you help me with this jigsaw puzzle?,तुम्ही मला या जिगसॉ पझलमध्ये मदत करू शकता का?
Do you want to go to the art museum with me?,तुला माझ्यासोबत कला संग्रहालयात जायचे आहे का?
Can you give me the password to your smart home device?,तुम्ही मला तुमच्या स्मार्ट होम डिव्हाइसचा पासवर्ड देऊ शकता का?
What’s the latest update on the financial plan?,आर्थिक योजनेचे नवीनतम अपडेट काय आहे?
What’s the plan for the afternoon?,दुपारचा प्लॅन काय आहे?
Can you give me some tips on how to stay organized?,तुम्ही मला व्यवस्थित कसे राहायचे याबद्दल काही टिप्स देऊ शकता का?
"I’m feeling confident, I want to sing.","मला आत्मविश्वास वाटत आहे, मला गाण्याची इच्छा आहे."
"Can you pass me the pepper, please?","कृपया, तुम्ही मला मिरपूड देऊ शकता का?"
What’s the latest update on the club outing?,क्लब आउटिंगचे नवीनतम अद्यतन काय आहे?
Can you help me with this riddle?,तुम्ही मला या कोड्यात मदत करू शकता का?
Do you want to go to the nature reserve with me?,तुला माझ्याबरोबर निसर्ग अभयारण्यात जायचे आहे का?
Can you give me the password to your smart car?,तुम्ही मला तुमच्या स्मार्ट कारचा पासवर्ड देऊ शकता का?
What’s the latest update on the vacation plan?,सुट्टीतील प्लॅनचे नवीनतम अपडेट काय आहे?
What’s the plan for the morning?,सकाळचा प्लॅन काय आहे?
Can you give me some tips on how to be a good listener?,चांगला श्रोता कसा असावा यासाठी तुम्ही मला काही टिप्स देऊ शकता का?
"I’m feeling hopeful, I want to help others.","मी आशावादी आहे, मला इतरांना मदत करायची आहे."
"Can you pass me the vinegar, please?","कृपया, तुम्ही मला व्हिनेगर देऊ शकता का?"
What’s the latest update on the community project?,समुदाय प्रकल्पाचे नवीनतम अद्यतन काय आहे?
Can you help me with this brain teaser?,या ब्रेन टीझरसाठी तुम्ही मला मदत करू शकता का?
Do you want to go to the science center with me?,तुला माझ्याबरोबर विज्ञान केंद्रात जायचे आहे का?
Can you give me the password to your smart TV?,तुम्ही मला तुमच्या स्मार्ट टीव्हीचा पासवर्ड देऊ शकता का?
What’s the latest update on the home renovation plan?,घराच्या नूतनीकरण योजनेचे नवीनतम अपडेट काय आहे?
Can you give me,तू मला देऊ शकतो का
some tips on how to manage stress better?,तणावाचे व्यवस्थापन कसे चांगले करावे यासाठी काही टिपा?
"I’m feeling grateful, I want to express my thanks.","मी आभारी आहे, मला माझे आभार व्यक्त करायचे आहेत."
What’s the latest update on the charity event?,धर्मादाय कार्यक्रमाचे नवीनतम अपडेट काय आहे?
What do you want for dessert tonight?,आज रात्री तुम्हाला मिठाईसाठी काय हवे आहे?
Do you want to go to the movie theater with me?,तुला माझ्यासोबत चित्रपटगृहात जायचे आहे का?
Can you give me the password to your smart speaker?,तुम्ही मला तुमच्या स्मार्ट स्पीकरचा पासवर्ड देऊ शकता का?
What’s the latest update on the road trip plan?,रोड ट्रिप प्लॅनचे नवीनतम अपडेट काय आहे?
Can you give me some tips on how to make healthier choices?,तुम्ही मला निरोगी निवडी कशा करायच्या याबद्दल काही टिपा देऊ शकता का?
"I’m feeling inspired, I want to create something new.","मला प्रेरणा वाटत आहे, मला काहीतरी नवीन तयार करायचे आहे."
What’s the latest update on the concert series?,कॉन्सर्ट मालिकेचे नवीनतम अपडेट काय आहे?
Can you help me with this sudoku puzzle?,तुम्ही मला या सुडोकू कोडेमध्ये मदत करू शकता का?
Do you want to go to the aquarium with me?,तुला माझ्याबरोबर मत्स्यालयात जायचे आहे का?
Can you give me the password to your smart bike?,तुम्ही मला तुमच्या स्मार्ट बाईकचा पासवर्ड देऊ शकाल का?
don't worry,चिंता करू नको
don't pull it ,ते अाेढू नको
a,एक
abandon,सोडून देणे
able,सक्षम
abortion,गर्भपात
about,बद्दल
above,वर
abroad,परदेशात
absence,अनुपस्थिती
absolute,निरपेक्ष
absolutely,पूर्णपणे
absorb,शोषून घेणे
abuse,"गैरवर्तन,अपशब्द"
academic,शैक्षणिक
accept,स्वीकारा
access,प्रवेश
accident,अपघात
accompany,सोबत
accomplish,साध्य
according,त्यानुसार
account,खाते
accurate,अचूक
accuse,आरोप
achieve,साध्य
achievement,कामगिरी
acid,आम्ल
acknowledge,कबूल करा
acquire,घेणे
across,ओलांडून
act,कृती
action,क्रिया
active,सक्रिय
activist,कार्यकर्ता
activity,क्रियाकलाप
actor,अभिनेता
actress,अभिनेत्री
actual,प्रत्यक्ष
actually,प्रत्यक्षात
ad,जाहिरात
adapt,जुळवून घेणे
add,जोडा
addition,या व्यतिरिक्त
additional,अतिरिक्त
address,पत्ता
adequate,पुरेसे
adjust,समायोजित करा
adjustment,समायोजन
administration,प्रशासन
administrator,प्रशासक
admire,प्रशंसा करा
admission,प्रवेश
admit,कबूल करा
adolescent,पौगंडावस्थेतील
adopt,दत्तक घेणे
adult,प्रौढ
advance,प्रगती
advanced,प्रगत
advantage,फायदा
adventure,साहस
advertising,जाहिरात
advice,सल्ला
advise,सल्ला
adviser,सल्लागार
advocate,वकील
affair,प्रकरण
affect,प्रभावित करा
afford,परवडणे
afraid,भीती
African,आफ्रिकन
African-American,आफ्रिकन-अमेरिकन
after,नंतर
afternoon,दुपारी
again,पुन्हा
against,विरुद्ध
age,वय
agency,एजन्सी
agenda,अजेंडा
agent,एजंट
aggressive,आक्रमक
ago,पूर्वी
agree,सहमत
agreement,करार
agricultural,कृषी
ahead,पुढे
aid,मदत
aide,सहाय्यक
AIDS,एड्स
aim,ध्येय
air,हवा
aircraft,विमान
airline,विमान सेवा
airport,विमानतळ
album,अल्बम
alcohol,दारू
alive,जिवंत
all,सर्व
alliance,युती
allow,परवानगी द्या
ally,मित्र
almost,जवळजवळ
alone,एकटा
along,सोबत
already,आधीच
also,देखील
alter,बदल
alternative,पर्यायी
although,जरी
always,नेहमी
am,आहे
amazing,आश्चर्यकारक
American,अमेरिकन
among,दरम्यान
amount,रक्कम
an,एक
analysis,विश्लेषण
analyst,विश्लेषक
analyze,विश्लेषण करा
ancient,प्राचीन
and,आणि
anger,राग
angle,कोन
angry,रागावले
animal,प्राणी
anniversary,वर्धापनदिन
announce,घोषणा करा
annual,वार्षिक
another,दुसरा
answer,उत्तर
anticipate,अंदाज
anxiety,चिंता
any,कोणतेही
anybody,कोणीही
anymore,यापुढे
anyone,कोणीही
anything,काहीही
anyway,असो
anywhere,कुठेही
apart,वेगळे
apartment,अपार्टमेंट
apparent,उघड
apparently,वरवर पाहता
appeal,आवाहन
appear,दिसणे
appearance,देखावा
apple,सफरचंद
application,अर्ज
apply,लागू करा
appoint,नियुक्ती
appointment,भेट
appreciate,कौतुक
approach,दृष्टिकोन
appropriate,योग्य
approval,मान्यता
approve,मंजूर
approximately,अंदाजे
Arab,अरब
architect,आर्किटेक्ट
are,आहेत
area,क्षेत्र
argue,वाद घालणे
argument,वाद
arise,उद्भवू
arm,हात
armed,सशस्त्र
army,सैन्य
around,सुमारे
arrange,व्यवस्था
arrangement,व्यवस्था
arrest,अटक
arrival,आगमन
arrive,आगमन
art,कला
article,लेख
artist,कलाकार
artistic,कलात्मक
as,म्हणून
Asian,आशियाई
aside,बाजूला
ask,विचारा
asleep,झोपलेला
aspect,पैलू
assault,हल्ला
assert,ठामपणे सांगणे
assess,मूल्यांकन
assessment,मूल्यांकन
asset,मालमत्ता
assign,नियुक्त करा
assignment,नेमणूक
assist,मदत
assistance,मदत
assistant,सहाय्यक
associate,सहकारी
association,संगती
assume,गृहीत धरा
assumption,गृहीत
assure,आश्वासन
at,येथे
athlete,धावपटू
athletic,कमावलेला
atmosphere,वातावरण
atom,अणू
attach,जोडणे
attack,हल्ला
attempt,प्रयत्न
attend,उपस्थित रहा
attention,लक्ष
attitude,वृत्ती
attorney,वकील
attract,आकर्षित करा
attractive,आकर्षक
attribute,गुणधर्म
audience,प्रेक्षक
author,लेखक
authority,अधिकार
auto,ऑटो
available,उपलब्ध
average,सरासरी
avoid,टाळा
award,पुरस्कार
aware,जाणीव
awareness,जागरूकता
away,लांब
awful,भयानक
baby,बाळ
back,परत
background,पार्श्वभूमी
bad,वाईट
badly,वाईट रीतीने
bag,पिशवी
bake,बेक करावे
balance,शिल्लक
ball,बॉल
ban,बंदी
band,बँड
bank,बँक
bar,बार
barely,जेमतेम
barrel,बंदुकीची नळी
barrier,अडथळा
base,पाया
baseball,बेसबॉल
basic,मूलभूत
basically,मुळात
basis,आधार
basket,टोपली
basketball,बास्केटबॉल
bat,वटवाघूळ
bathroom,स्नानगृह
battery,बॅटरी
battle,लढाई
be,असणे
beach,समुद्रकिनारा
bean,बीन
bear,अस्वल
beat,मार
beautiful,सुंदर
beauty,सौंदर्य
because,कारण
become,बनणे
