English,Japanese
Can you eat durian,ドリアンって、食べれる？
Can you go with us,私たちと一緒に行けますか。
Can you pick me up,車で迎えに来てくれる？
Can you picture it,イメージできる？
Can you picture it,想像できる？
Can you wait a bit,ちょっと待ってくれる？
Cars pollute a lot,車はかなりの汚染を引き起こします。
Check the calendar,カレンダーを見てみろよ。
Check your pockets,ポケットを確認して。
Check your pockets,ポッケの中見てごらん。
Chess is difficult,チェスは難しい。
Chess is difficult,チェスはムズい。
Children like cake,子供たちはケーキが好きだ。
Children love cake,子供たちはケーキが好きだ。
Children love dogs,子どもは犬が大好きです。
Children need love,子供には愛情が必要です。
Children need love,子供には愛が必要だ。
Clean up your room,部屋を片付けなさい。
Clean up your room,自分の部屋を掃除しなさい。
Clean up your room,自分の部屋の掃除をしなさい。
Come along with me,私についてきなさい。
Come along with me,私と一緒に来なさい。
Come along with me,私について来て。
Come along with us,私たちと一緒に来なさい。
Come along with us,さあ、一緒に来いよ。
Come along with us,いっしょに来なさい。
Come and sit by me,お父さんのそばに座りなさい。
Come into the room,部屋の中に入ってください。
Come on follow me,さあ、ついておいで。
Come on follow me,さあ、私についていらっしゃい。
Come on try again,さあ、もう一度。
Come to our office,うちの事務所に来て。
Could this be love,これは愛だろうか？
Count up to thirty,３０まで数えなさい。
Crime does not pay,犯罪は割に合わないものだ。
Did Tom eat dinner,トムは晩ご飯食べたの？
Did Tom harass you,トムに嫌がらせされたの？
Did Tom harass you,トムから嫌がらせを受けたの？
Did they live here,あの人たちここに住んでたの？
Did you bring wine,ワインは持ってきた？
Did you eat it all,それ全部食べたの？
Did you find a job,仕事はみつかりましたか？
Did you get burned,やけどしたの？
Did you get coffee,コーヒー貰った？
Did you get coffee,コーヒー買った？
Did you get coffee,コーヒー受け取った？
Did you invite him,彼を招待したの？
Did you murder Tom,お前がトムを殺したのか？
Did you order this,これ、頼んだの？
Did you order this,これ、注文した？
Did you sleep well,よく眠れた？
Did you sleep well,よく寝た？
Did you write that,あれって、あなたが書いたの？
Did you write that,あなたがそれを書いたの？
Didn you see Tom,トムを見ませんでしたか？
Dinner was awesome,夕食は素晴らしかった。
Do I have to study,私は勉強しなければならないですか。
Do I have to study,勉強しないといけませんか？
Do as he tells you,彼の言うとおりにしなさい。
Do come if you can,ご都合がつけばぜひ来て下さい。
Do it by all means,必ずやってよ。
Do that right away,今すぐそれをやりなさい。
Do watch your step,足元にご注意ください。
Do you accept Visa,ＶＩＳＡは使えますか。
Do you feel better,少しは良くなりましたか。
Do you have a bike,自転車を持っていますか。
Do you have a bike,オートバイを持っていますか。
Do you have a bike,バイクを持っていますか。
Do you have a book,君は本を持ってる？
Do you have a plan,何かプランはあるの？
Do you have a plan,予定があるの？
Do you have a pool,プールがあるの？
Do you have any ID,身分が証明できるものをお持ちですか？
Do you have any ID,身分証明書はありますか？
Do you know kabuki,歌舞伎はご存じですか。
Do you know kabuki,歌舞伎って知ってる？
Do you know kabuki,歌舞伎ってご存知ですか？
Do you know kabuki,歌舞伎ってわかる？
Do you like Boston,ボストンは好きですか？
Do you like French,フランス語好きですか？
Do you like apples,リンゴは好きですか。
Do you like apples,リンゴはお好きですか。
Do you like coffee,コーヒーはお好きですか？
Do you like ginger,生姜って、好き？
Do you like movies,映画は好きですか。
Do you like robots,ロボットは好きですか。
Do you like school,あなたは学校が好きですか。
Do you like school,あなた達は学校が好きですか。
Do you like school,学校は好き？
Do you like snails,カタツムリって好き？
Do you like sports,スポーツは好き？
Do you like summer,夏は好きですか。
Do you like tennis,テニスは好きですか。
Do you miss Boston,ボストンが恋しい？
Do you need a hand,お手伝いしましょうか？
Do you need a hand,どうしました？
Do you need a hand,手伝おうか？
Do you need a hand,手、貸そうか？
Do you need a lift,乗せていってあげようか？
Do you need a lift,車で送ってあげようか？
Do you need gloves,手袋が要りますか？
Do you need gloves,手袋が必要ですか？
Do you play soccer,あなたはサッカーをしますか。
Do you play tennis,テニスができますか。
Do you play tennis,テニスはするの？
Do you remember me,私のこと覚えてますか。
Do you still smoke,まだタバコ吸ってるの？
Do you want a ride,乗りますか。
Do you want a trim,毛先をそろえますか。
Do your gums bleed,歯茎から出血しますか。
Does Tom cry often,トムって、よく泣くの？
Does Tom eat a lot,トムって、よく食べるの？
Does Tom have kids,トムには子供がいるの？
Does Tom like cats,トムって猫は好きかな？
Does Tom like fish,トムは魚好きかな？
Does Tom like golf,トムって、ゴルフが好きなの？
Does Tom play golf,トムはゴルフやるの？
Does he have money,お金持ってるのかな？
Does he have money,お金あるのかな？
Does it hurt a lot,すごく痛みますか。
Does it hurt a lot,かなり痛いのですか？
Does it hurt a lot,ひどく痛いの？
Does it hurt a lot,ひどく痛みますか？
Does it hurt a lot,とっても痛む？
Does it taste okay,味はいかがですか。
Does your arm hurt,腕が痛いの？
Does your arm hurt,腕が痛むの？
Does your dog bite,お宅のワンちゃん噛みます？
Don be a bad boy,悪いことしてはだめですよ。
Don be a copycat,猿まねはやめろ。
Don be mad at me,私に怒らないで。
Don be so greedy,そんなに欲張らないの。
Don be so stingy,ケチケチすんな。
Don be so stingy,そんなみみっちいこと言うな。
Don be so stingy,せこせこするな。
Don call him Tom,あいつのこと、トムって呼ぶのはよせよ。
Don call him Tom,彼をトムって呼んじゃダメよ。
Don catch a cold,風邪をひかないでよ。
Don catch a cold,風邪に気をつけて。
Don catch a cold,風邪引かないでね。
Don catch a cold,風邪引かないようにね。
Don come near me,俺に近寄るな。
Don eat too much,あまり食べ過ぎるな。
Don feed the dog,犬に餌をあげないでください。
Don feed the dog,犬に食べ物をあげないでね。
Don feed the dog,犬には食べさせないでください。
Don get it wrong,勘違いするなよ。
Don get me wrong,誤解しないでよ。
Don get me wrong,誤解しないでくれ。
Don get paranoid,被害妄想に囚われるな。
Don get so angry,そんなに怒るなよ。
Don give me that,いいかげんな話はやめろ。
Don give me that,そんなこと言うなよ。
Don give up hope,失望するな。
Don give up hope,望みを捨てちゃ駄目だよ。
Don go there now,今そこに行ってはいけません。
Don go there now,今そこに行くな。
Don make Tom cry,トムを泣かせるな。
Don make a noise,音をたてるな。
Don make a scene,声を立てて騒ぐな。
Don make a sound,音を立てないでください。
Don make me wait,待たせないでくれ！
Don miss the bus,バスに乗り遅れるなよ。
Don move please,動かないでください。
Don say anything,何も言うな。
Don say it again,二度と言うな。
Don smoke in bed,寝タバコはご遠慮ください。
Don take chances,危ない事はするな。
Don talk rubbish,変なこと言うなよ。
Don talk so loud,そんな大声で話すな！
Don talk so loud,そんな大きな声で話さないでちょうだい。
Don tantalize me,俺の前でもったいつけるなよ。
Don tantalize me,私に見せつけないでよ。
Don tell anybody,誰にも言うなよ。
Don tell anybody,内緒だよ。
Don tell me that,そんなこと言うなよ。
Don throw stones,石を投げちゃ駄目だからね。
Don touch my car,僕の車を触らないでくれ。
Don touch my car,僕の車に触れないでくれ。
Don try too hard,無理しないでね。
Don wake the cat,猫を起こさないで！
Don walk so fast,そんなに速く歩くな。
Don write in ink,インクで書いたらダメだよ。
Don you think so,そう思わない？
Don you think so,そう思いませんか。
Don you wanna go,行きたくないの？
Don you watch TV,テレビは見ないの？
Doors open at 230,扉は２時３０分に開きます。
Drink up your milk,牛乳は全部飲みなさい。
Easy come easy go,得やすいものは失いやすい。
Easy come easy go,楽に得たものは、すぐに失ってしまう。
Easy come easy go,悪銭身につかず。
Either day is fine,どっちの日でもいいですよ。
Either way is fine,どっちでも大丈夫だよ。
Either way is fine,どちらにしても大丈夫だよ。
Endorse this check,この小切手を裏書きしてください。
Everybody hates us,私たちはみんなに嫌われている。
Everybody knows it,みんな承知の上さ。
Everybody knows it,みんな知ってるよ。
Everybody was calm,みんな冷静だった。
Everyone has flaws,誰にでも欠点はある。
Everyone hates Tom,トムはみんなに嫌われている。
Everyone is unique,みんな、個性的です。
Everyone liked Tom,トムは誰からも好かれていた。
Everyone liked Tom,みんなトムのことが好きだった。
Everyone likes Tom,トムは誰からも好かれている。
Everyone loves him,誰もが彼を愛している。
Everyone says that,皆がそう言ってるよ。
Everyone was drunk,みんな酔っ払いだった。
Everyone was drunk,みんな酔っていた。
Everyone was happy,みんなが喜んでいた。
Everything is fine,万事よろしい。
Everything is fine,これで結構です。
Everything is fine,何も問題はない。
Everything is over,すべては終わった。
Everything ready,万事準備ができました。
Everything ready,なにもかも準備ができた。
Everything ready,準備は万端です。
Everything ready,準備完了！
Excuse me a minute,ちょっと失礼します。
Excuse me a moment,ちょっと失礼します。
Exercise every day,毎日運動するようにする。
Figs are delicious,イチジクって美味しいよ。
Fill in the blanks,空欄を埋めなさい。
Fill it up please,満タンでお願いします。
First things first,まずははじめの一歩から。
Follow these rules,これらの規則に従いなさい。
Follow these rules,ルールを守りなさい。
Follow your dreams,夢に向かって頑張ってね。
For here or to go,こちらで召し上がりますか、それともお持ち帰りにしますか。
Forty years passed,４０年が過ぎ去った。
Foxes eat chickens,キツネはニワトリを食べます。
Get away from here,ここから離れなさい。
Get away from here,ここから逃げなさい。
Get back get back,戻って、戻って！
Get me up at eight,８時に起こして。
Get out of the way,道をあけてください。
Get out of the way,どいてください。
Get with the times,時代に乗り遅れるなよ。
Give it another go,もう一回やってみて。
Give it back to me,返してよ。
Give me half of it,半分よこせ。
Give me more money,もっと金をくれ。
Give me my portion,私の分ちょうだい。
Give me my portion,俺の取り分をよこせ。
Give me my portion,分け前をくれよ。
Give me your money,金出せよ。
Give me your money,金を出せ。
Give them the 300,彼らに３００ドル渡しなさい。
Glass is breakable,グラスは壊れやすいよ。
Glass is breakable,ガラスは割れやすいです。
Go and wake Tom up,トムを起こしてきて。
Go back to the lab,研究室に戻りなさい。
Go get some towels,タオルを取ってきて。
Go to the basement,地下室に行ってなさい。
Go to the basement,地下室に行け。
Go to the hospital,病院に行けよ。
Go up these stairs,この階段を上がっていきなさい。
Go wash your hands,手を洗ってらっしゃい。
Good job everyone,みんな、よくできたね！
Good job everyone,みなさん、お疲れさまでした！
Good job everyone,みんな、お疲れ様！
Good job everyone,みんな、よくできたね！
Good job everyone,みなさん、お疲れさまでした！
Good job everyone,みんな、お疲れ様！
Good morning Mama,お母さん、おはよう。
Hand the gun to me,銃をよこせ。
Hang on one second,少し待ってて。
Happy Father Day,お父さん、いつもありがとう！
Happy Mother Day,お母さん、いつもありがとう！
Has Tom tried that,トムはやってみたことあるの？
Has he arrived yet,彼はもう着いたのですか。
Has he arrived yet,彼はもう着いたか。
Have a nice flight,良いフライトを！
Have a nice flight,楽しい空の旅を、いってらっしゃい。
Have we met before,以前お会いしたことがありますか。
Have you been away,何処か行ってた？
Have you eaten yet,ごはん食べたの？
Have you ever lost,負けたことってある？
Have you found Tom,トムは見つかった？
Have you found Tom,トムを見つけることができた？
Have you had lunch,お昼はもう食べた？
Have you seen this,これ見たことある？
He acted foolishly,彼はばかげた行動をした。
He advised caution,彼は用心するように忠告した。
He arrived in time,彼は時間通り到着した。
He arrived in time,彼は時間内に到着した。
He asked after you,彼が君の様子を尋ねていた。
He asked for money,彼はお金を求めた。
He asked for money,彼はお金が欲しいと言った。
He asked for money,彼は金を要求した。
He asked for money,彼は金を貸してくれと頼んだ。
He asked for money,彼はお金をねだった。
He became a sailor,彼は船乗りになった。
He breathed deeply,彼は深呼吸をした。
He breathed deeply,彼は深呼吸した。
He breathed deeply,彼は深く息をした。
He called for help,彼は助けを呼んだ。
He called for help,彼は助けを求めた。
He called me a cab,彼は私にタクシーを呼んでくれた。
He came back again,彼はまた戻ってきた。
He came downstairs,彼は階下におりてきた。
He came here again,彼はまたここに来た。
He can drive a car,彼は車の運転ができる。
He can swim a mile,彼は１マイル泳げる。
He can swim a mile,彼は１マイル泳げない。
He can buy a car,彼は自動車を買うことができない。
He can buy a car,彼は車を買うことができない。
He can buy a car,彼は自動車を購入することができません。
He can stay long,長居できないんだよ。
He changed his job,彼は仕事を変えた。
He closed his eyes,彼は目を閉じました。
He comes on strong,彼は強気だ。
He cried and cried,彼は泣きに泣いた。
He crushed the box,彼はその箱を壊した。
He did a cartwheel,彼は側転をしました。
He didn go there,彼はそこへ行かなかった。
He disliked school,彼は学校が嫌いだった。
He doesn know me,彼は私を知りません。
He doesn like us,彼は私たちを好きではない。
He doesn like us,彼は私たちのことが嫌いだ。
He drove to school,彼は車で学校へ行った。
He entered my room,彼は私の部屋に入った。
He gave him a book,彼はその人に本をあげた。
He gave me a watch,彼は私に時計をくれた。
He got back at six,彼は六時に戻った。
He got home at six,彼は六時に帰った。
He got off the bus,彼はバスを降りた。
He got off the bus,彼はバスから降りた。
He got out his pen,彼はペンを取り出した。
He has a bad heart,彼は心臓が悪い。
He has a big mouth,彼はよくしゃべる人だ。
He has a big mouth,彼は口が軽い。
He has a long nose,彼は鼻が高い。
He has a weak will,彼は意志が弱い。
He has another son,彼にはもう一人息子がいる。
He has no children,彼には子供がいません。
He has no children,彼には子供がいない。
He hasn come yet,彼はまだ来ない。
He hasn come yet,彼がまだ来ていない。
He heard the noise,彼は物音を聞いた。
He heard the sound,彼は物音を聞いた。
He held his breath,彼は息を止めた。
He held his breath,彼は息をのんだ。
He is a bad driver,彼は車の運転が下手だ。
He is a bad driver,彼は運転が下手だ。
He is a bank clerk,彼は銀行員です。
He is a bus driver,彼はバスの運転手だ。
He is a man of wit,彼は機知に富んだ人だ。
He is about my age,彼はほぼ私の年です。
He is about my age,僕と同じぐらいの歳だよ。
He is about thirty,彼は３０歳くらいだ。
He is already here,彼はもうここに来ている。
He is always happy,彼はいつも幸せです。
He is good at golf,彼はゴルフがうまい。
He is having lunch,彼は昼食をとっている。
He is having lunch,あいつなら昼飯食ってるよ。
He is my classmate,彼は私の級友です。
He is my classmate,彼は私の同級生です。
He is my colleague,彼は私の仕事仲間である。
He is playing golf,彼はゴルフをしている。
He is playing here,彼はここで遊んでいます。
He is so heartless,あいつは思いやりがない。
He is sure to come,彼はきっと来ると思う。
He is sure to come,彼はきっと来ますよ。
He is thickheaded,彼は頭が固い。
He is very careful,彼はとても用心深い。
He is very careful,彼はたいへん注意深い。
He isn my cousin,彼は私のいとこでない。
He kept his hat on,彼は帽子をかぶったままだった。
He kept me waiting,彼は私を待たせていた。
He kept on singing,彼は歌いつづけた。
He kicked the ball,彼はボールを蹴った。
He killed that man,彼はその男を殺した。
He lacks judgement,彼は判断力に欠けている。
He lay on his back,彼は仰向けに寝ていた。
He lay on his back,彼は仰向けになった。
He learned to swim,彼は泳ぎ方を習った。
He lied to my face,彼は私に面と向かって嘘をついた。
He likes adventure,彼は冒険が好きです。
He lives near here,あいつはこの近くに住んでるんだ。
He lost his memory,彼は記憶を失った。
He loves traveling,彼は旅行が大好きだ。
He made an apology,彼はわびを入れた。
He may be a genius,彼は天才かもしれない。
He often gets sick,彼はよく病気になる。
He opened the door,彼はドアをあけた。
He remained silent,彼は黙っていた。
He remained silent,彼は黙ったままだった。
He remained silent,彼はずっと黙っていた。
He returned at six,彼は六時に戻った。
He sat next to her,彼は彼女の隣に座った。
He sat next to her,彼は彼女の横に腰かけた。
He skipped a grade,彼は一年飛び級をした。
He started singing,彼は歌い始めた。
He started to sing,彼は歌い始めた。
He still loves her,彼はまだ彼女のことを愛している。
He stole her watch,彼女の時計を盗んだんだ。
He stood behind me,彼は私の後ろに立った。
He stopped smoking,彼は喫煙をやめた。
He stopped smoking,彼は煙草をやめた。
He stopped smoking,彼はタバコを吸うのをやめました。
He stopped smoking,彼はたばこをやめた。
He stopped talking,彼は話をやめた。
He stopped the car,彼は車を止めた。
He teaches English,彼は英語を教えている。
He took a week off,彼は一週間休みをとった。
He took a week off,彼は一週間の休みをとった。
He waited his turn,彼は自分の順番を待った。
He walks to school,彼は歩いて通学する。
He walks to school,彼は徒歩通学だ。
He walks to school,彼は歩いて学校に行っている。
He was embarrassed,彼は照れていた。
He was fast asleep,彼はぐっすり眠っていた。
He was heartbroken,彼は悲嘆にくれた。
He was heartbroken,彼は悲しみに打ちひしがれた。
He went by bicycle,彼は自転車で行った。
He went out to eat,彼は外食した。
He works at a bank,彼は銀行で働いています。
He works at a bank,銀行で働いています。
He works in a bank,彼は銀行で働いています。
He works very hard,彼は良く働きます。
He works very hard,彼はとてもよく勉強する。
He be here soon,彼はすぐ来ます。
He be here soon,もうすぐ彼はここに来るでしょう。
He win for sure,彼はきっと勝つ。
He a fast walker,彼は歩くのが速い。
He a fast walker,彼は足が速い。
He a good fellow,彼はいいやつだ。
He a good person,彼はいい人です。
He a good person,いい人です。
He a kind person,優しい人です。
He a kind person,いい人です。
He a kind person,彼は親切な人です。
He a lazy fellow,彼は怠け者だ。
He a wealthy man,彼は資産家だ。
He always joking,いっつも冗談ばっかり。
He an honest man,彼は正直な男だ。
He good at cards,彼はトランプがうまい。
He not all there,彼は上の空だ。
He not my cousin,彼は私のいとこでない。
He overconfident,彼は自信過剰だ。
Hedgehogs are cute,ハリネズミ、かわいいね。
Her skin is smooth,彼女の肌は滑らかです。
Here comes the bus,バスが来ましたよ。
Here is my bicycle,これが私の自転車です。
Here the address,これが住所です。
Here your change,はい、おつりです。
Here let me do it,ねえ、僕にやらせて。
Hey look it Tom,おーい！ほら、彼がトムだよ。
Hey let go home,ねぇ、家に帰ろう。
Hey wait a minute,ねえ、ちょっと待って。
Hey wait a second,おい、ちょっと待てよ。
Hey what happened,何があったんだ？
Hide in the closet,クローゼットの中に隠れろ。
His knees gave way,彼はがっくりひざをついた。
His love grew cold,彼の愛は冷めていった。
His wife is French,彼の奥さんはフランス人です。
How about some tea,紅茶はいかが？
How about some tea,お茶でもどうですか？
How about tomorrow,明日はどうですか。
How can I help you,何かあったのですか。
How can I say this,これはどう言えばいいかな？
How could I forget,忘れるわけないでしょ？
How did that occur,それはどのようにして起こったのか。
How do you do that,どうやってやるの？
How do you do this,どうやってやるの？
How do you like it,それどう思う？
How hungry are you,どれくらいお腹すいてる？
How hungry are you,どのくらいお腹へってる？
How is the economy,景気はどうですか。
How is the weather,天気はどうですか。
How is the weather,天気はどんな感じ？
How is your family,家族の皆さんはお元気？
How is your family,ご家族はお元気ですか。
How is your family,ご家族はお元気ですか？
How is your mother,お母様はお元気ですか？
How is your mother,お母さんは、お元気？
How is your sister,お姉さんはお元気ですか。
How many are there,いくつありますか。
How much is a beer,ビールはいくらですか。
How much snow fell,雪はどれぐらい降った？
How safe is Boston,ボストンってどのくらい安全ですか？
How was that movie,あの映画はどうだった？
How was your night,夜何してたの？
How married life,結婚生活はどんな感じだい？
How school going,学校はどう？
How school going,学校はどうですか？
How the job hunt,就職活動はどう？
How the job hunt,就活どんな感じ？
How your new job,新しい職場はいかがですか。
How your new job,新しい仕事はどう？
Hug me I scared,怖いから、抱っこ。
Humans are mammals,人間は哺乳類です。
Hurry up I cold,早く。寒いよ。
I accept the offer,その申し出を受けることにしたよ。
I admit my mistake,私は自分の誤りを認める。
I admit my mistake,私が間違ってました。
I adopted a kitten,子猫を引き取ったよ。
I agree completely,全く同感です。
I almost forgot it,もう少しで忘れるところだった。
I already told you,すでにお話ししました。
I am all but ready,準備はほぼできている。
I am all but ready,もうちょっとで準備できる。
I am an only child,私は一人っ子です。
I am fond of music,私は音楽が好きだ。
I am in deep water,非常に困っています。
I am not a teacher,私は教師ではない。
I am six feet tall,６フィートです。
I answered for him,私は彼に代わって応えた。
I ate some peanuts,ピーナッツを食べた。
I ate three donuts,ドーナツ、３つも食べちゃった。
I ate three donuts,ドーナツを３個食べたよ。
I bathe once a day,１日１回はお風呂に入ります。
I believe in magic,わたしは魔法を信じている。
I bet Tom ran away,トムは逃げたに違いない。
I bet Tom ran away,トムは退散したに違いない。
I bought a Picasso,ピカソの絵を買った。
I bought a Tshirt,Tシャツ買ったんだ。
I bought a Tshirt,Tシャツを買いました。
I bought a Tshirt,Tシャツを買ったの。
I bought a new car,私は新車を買った。
I bought a red tie,赤いネクタイを買いました。
I bought ice cream,アイス、買ってきたよ。
I bought some eggs,卵を買ったんだ。
I broke the clutch,クラッチペダルが壊れてしまった。
I broke the clutch,クラッチペダル、壊しちゃった。
I broke the clutch,クラッチペダルを壊してしまいました。
I burned my finger,指にやけどをしました。
I burned my finger,指にやけどを負った。
I burned the paper,新聞を燃やした。
I called my lawyer,顧問弁護士に電話しました。
I can eat anything,何でも食べれるよ。
I can explain that,それ説明できるよ。
I can hear nothing,私には何も聞こえません。
I can read English,私は英語が読める。
I can ride a horse,私は馬に乗れるんだよ。
I can teach French,フランス語なら教えられるよ。
I can wait for you,お前のこと待ってるよ。
I can allow this,これは許せないな。
I can allow this,これは許し難いな。
I can believe it,あり得ねぇー。
I can drink milk,牛乳は飲めない。
I can drink milk,僕は牛乳がダメだ。
I can drink wine,ワインは飲めません。
I can excuse her,私は彼女を許せない。
I can follow you,ちょっと話がわからないんですが。
I can follow you,話がよくわからないのですが。
I can forget Tom,トムのことは忘れられないよ。
I can lie to you,君には嘘はつけないよ。
I can play chess,チェスはできないの。
I can sleep well,よく眠れません。
I can stand them,我慢できません。
I can wait to go,早く行きたいな。
I caught the mouse,ネズミ、捕まえたよ。
I checked it twice,二度確認しました。
I clapped my hands,私はぽんと手を打った。
I clapped my hands,私は手をたたいた。
I clapped my hands,私は拍手した。
I climbed Mt Fuji,私は富士山に登った。
I climbed Mt Fuji,私は富士山に登った。
I come from Brazil,私はブラジルの出身です。
I completely agree,大賛成です。
I completely agree,全く同感です。
I confessed my sin,私は罪を告白した。
I confessed my sin,自白しました。
I corrected myself,自分で訂正した。
I corrected myself,自分で訂正しました。
I corrected myself,言い直しました。
I corrected myself,言い改めました。
I coughed up blood,吐血しました。
I coughed up blood,喀血しました。
I couldn get out,私は外へ出られなかった。
I did it willingly,進んでそれをやりました。
I did that for you,してあげたよ。
I did that for you,やっといたよ。
I did what I could,できる限りのことはしました。
I didn apologize,私は謝りませんでした。
I didn feel cold,寒さは感じなかったよ。
I didn know that,そうだとは知りませんでした。
I didn mean that,そのつもりで言ったのでは・・・。
I didn mean that,そういうつもりじゃなかったんだ。
I didn notice it,それには気付かなかった。
I didn tell them,奴らには伝えなかった。
I dislike them all,みんな嫌い。
I don believe it,信じられないわ。
I don cry easily,私は簡単には泣かない。
I don dislike it,嫌いじゃない。
I don drink soda,炭酸飲料は飲みません。
I don fear death,私は死ぬことを恐れていません。
I don have a car,車は持ってないんです。
I don have a cat,私は猫を飼っていない。
I don have a cat,私は猫を飼っていません。
I don have a son,私には息子がいない。
I don have money,お金がないんだよ。
I don have money,お金がありません。
I don like lying,嘘をつくのが好きじゃないの。
I don like music,音楽は好きじゃないんだよ。
I don like sushi,お寿司は好きじゃなの。
I don live there,そこには住んでませんよ。
I don need a bag,袋は要らないよ。
I don need money,お金はいらない。
I don read books,本は読まないんだ。
I don sleep well,よく眠れません。
I don want a bag,袋は要らないよ。
I don want lunch,昼食はいらないよ。
I don wear a tie,ネクタイはしません。
I doubt if it will,そうなるかどうか怪しいもんだよ。
I drank the coffee,コーヒーを飲んだよ。
I drank the coffee,コーヒーを飲みました。
I drank the coffee,コーヒー飲んだよ。
I dreamt about you,わたしはあなたの夢を見ました。
I ended up winning,結局、私は勝ちました。
I enjoyed swimming,私は水泳を楽しんだ。
I envy you so much,あなたがとても羨ましい。
I failed after all,私は結局失敗した。
I feel like a fool,バカみたい。
I feel like a rest,ちょっと休憩したい。
I feel like crying,泣きたい気分です。
I feel like crying,もう、泣きたいよ。
I feel very chilly,すごく寒気がするんだ。
I felt embarrassed,気恥ずかしさがあった。
I felt ill at ease,私は落ち着かなかった。
I felt like crying,泣きたい気分だったよ。
I finally found it,やっと見つけた。
I fixed it for you,直しといたよ。
I found a nice cup,素敵なカップを見つけた。
I found your diary,あなたの日記を見つけました。
I fractured my arm,腕を骨折しました。
I gave Tom the map,地図はトムにあげたよ。
I gave you my word,約束したよ。
I get how you feel,気持ちは分かる。
I give you my word,約束するよ。
I got a new camera,私は新しいカメラを手に入れた。
I got carried away,調子に乗ってました。
I got carried away,図に乗ってた。
I got my shoes wet,靴が濡れちゃった。
I got on the train,私は電車に乗った。
I got up about six,私は6時ごろ起きた。
I got up about six,６時ごろ起きた。
I got very thirsty,喉がカラカラなんだ。
I got very thirsty,めっちゃ喉が渇いた。
I had a concussion,脳しんとうを起こしました。
I had a good dream,夢見が良かった。
I had a good sleep,よく眠れました。
I had a good sleep,ぐっすり寝たよ。
I had a good sleep,よく眠れました。
I had a lot of fun,とても楽しかったです。
I had a lot of fun,すごく面白かった。
I had a tough week,ハードな一週間だった。
I had a tough week,今週はきつかった。
I had to walk home,私は歩いて家に帰らなければならなかった。
I had to walk home,私は歩いて家に帰らなくてはいけなかった。
I hate all of them,みんな嫌い。
I hate all of them,みんな大っ嫌い。
I hate commercials,CMが嫌いです。
I have a big house,ちょっと大きな家を持ってるよ。
I have a big house,大きな家を一軒持っています。
I have a black eye,目の周りに黒いあざが出来ちゃった。
I have a black eye,目の周りに黒いあざができてしまった。
I have a black eye,目の周りに黒いあざが出来てしまった。
I have a boyfriend,彼氏ならいるよ。
I have a dry cough,空咳が出ます。
I have a fish tank,水槽を持ってるんだ。
I have a flat tire,タイヤがパンクしてるんだ。
I have a good idea,いい考えがあります。
I have a head cold,鼻風邪をひきました。
I have a pain here,ここが痛いです。
I have a pain here,ここが痛い。
I have a spare key,スペアキーがあるんだよ。
I have a toothache,歯が痛いです。
I have a white cat,白い猫を飼っています。
I have few friends,友人は少ししかいない。
I have few friends,友達はあまりいないんだ。
I have lost my cap,帽子をなくしてしまった。
I have lost my key,私は鍵をなくした。
I have lost my key,鍵をなくした。
I have many dreams,僕には夢がたくさんある。
I have my passport,パスポートを持っています。
I have my passport,パスポートは持ってるよ。
I have no appetite,私は食欲がない。
I have no appetite,食欲がありません。
I have no children,私は子供がいません。
I have no patience,辛抱できないよ。
I have no siblings,兄弟はいません。
I have one brother,私は兄が一人います。
I have small hands,手は小さいんだ。
I have stuff to do,やることがあるんだ。
I have the day off,休みがある。
I have to dress up,おしゃれをしないといけない。
I have to get home,家に帰らなければいけない。
I have to go alone,一人で行かなくちゃ。
I have to paint it,ペンキを塗らなくちゃ。
I have two cameras,カメラは２台持ってるんだ。
I hear Tom voice,トムの声が聞こえる。
I heard him go out,彼が出ていく音が聞こえた。
I hope it pans out,うまく行くといいわね。
I hope it useful,役に立ってるといいですね。
I hope you like it,気に入ってもらえるといいんだが。
I hope you like it,気に入ってくれるといいな。
I hope you fine,お元気のことと存じます。
I hope you well,お元気のことと存じます。
I hurt my shoulder,肩を痛めた。
I just arrived now,私は今着いたばかりだ。
I just took a bath,お風呂に入ったとこだよ。
I know her address,彼女の住所を知っていますよ。
I know her by name,彼女の名前だけは知っている。
I know him by name,彼の名前を知っています。
I know him by name,彼の名前は知っています。
I know him by name,彼の名前だけなら知ってるよ。
I know his address,彼の住所なら分かるよ。
I know nothing yet,まだ何も知りません。
I know what I said,自分が何を言ったかわかってるよ。
I know you busy,あなたが忙しい事は分かっている。
I know you here,いるんだろ？
I know you rich,君が金持ちなのは知っているよ。
I know you rich,君が金持ちなのは知ってるよ。
I lay awake in bed,私はベッドで横になった。
I lay down to rest,私は休むために横になった。
I lay down to rest,私は横になって休んだ。
I lead a busy life,僕は忙しい毎日を送っています。
I left around 230,2時半頃出た。
I left around 230,2時半頃出発した。
I left it unlocked,そこの鍵は掛けないでおいたんです。
I left it unlocked,鍵はかけずにおいたよ。
I like Tom music,トムの音楽が好きなんだよ。
I like Tom smile,トムの笑顔いいね。
I like all of them,みんな好きよ。
I like apples best,私はリンゴが一番好きだ。
I like autumn best,私は秋が一番好きです。
I like autumn best,秋が一番好きなんだ。
I like being alone,私は一人でいるのが好きなんです。
I like boiled eggs,ゆで卵が好きなんだ。
I like busy places,にぎやかなところが好きだ。
I like butterflies,チョウが好きだよ。
I like butterflies,蝶々が好きなんだ。
